iata,city_name,country_name,country_code,continent
2CR,Cascine Vica Rivoli,Italy,IT,Europe
2CS,Cerise,France,FR,Europe
2CS,Casoli,Italy,IT,Europe
2CS,Chester,United States,US,North America
2CT,Castelletto sopra Ticino,Italy,IT,Europe
2CU,Cutler,United States,US,North America
2CV,Calviac,France,FR,Europe
2CV,Collinsville,United States,US,North America
2CW,North Caldwell,United States,US,North America
2CX,Coux,France,FR,Europe
2CY,Ceyrat,France,FR,Europe
2DD,Dresden,United States,US,North America
2DE,Deatsville,United States,US,North America
2DF,Monteils,France,FR,Europe
2DG,Franquevaux,France,FR,Europe
2DH,Tisvildeleje,Denmark,DK,Europe
2DK,Diamond Lake,United States,US,North America
2DN,Fressancourt,France,FR,Europe
2DP,La Chapelle-Gauthier,France,FR,Europe
2DR,Castel San Pietro,Italy,IT,Europe
2DS,Noirefontaine,France,FR,Europe
2DS,Fairview,United States,US,North America
2DT,Sabrodt Elsterheide,Germany,DE,Europe
2DU,Idalou,United States,US,North America
2EF,Saint-Etienne-de-Fursac,France,FR,Europe
2EK,Eureka,United States,US,North America
2EL,Secli,Italy,IT,Europe
2EM,Lemorieta,Spain,ES,Europe
2ES,Saint-Thibaud-de-Couz,France,FR,Europe
2FF,Fontaine-Francaise,France,FR,Europe
2FG,Flaugeac,France,FR,Europe
2FH,Collodi,Italy,IT,Europe
2FL,Frelinghien,France,FR,Europe
2FL,Copemish,United States,US,North America
2FO,Foissac,France,FR,Europe
2FR,Franclens,France,FR,Europe
2GA,Gabriola,Canada,CA,North America
2GA,Saint-Georges-Antignac,France,FR,Europe
2GA,Glauzig,Germany,DE,Europe
2GA,Gantt,United States,US,North America
2GD,Hobgood,United States,US,North America
2GE,Glen Easton,United States,US,North America
2GF,Chamagnieu,France,FR,Europe
2GL,Teba,Spain,ES,Europe
2GM,Bernieres,France,FR,Europe
2GP,Grantham,United States,US,North America
2GR,Mongo,Chad,TD,Africa
2GR,Generac,France,FR,Europe
2GR,Griesstatt,Germany,DE,Europe
2GT,Gouttieres,France,FR,Europe
2GT,Galatone,Italy,IT,Europe
2GV,Giovo,Italy,IT,Europe
2GW,Glenwood,United States,US,North America
2GX,Barfleur,France,FR,Europe
2H4,New Hope,United States,US,North America
2HA,Hamilton,United States,US,North America
2HE,Helmsburg,United States,US,North America
2HG,Caraman,France,FR,Europe
2HM,Liffol-le-Petit,France,FR,Europe
2HM,Hines,United States,US,North America
2HO,Winesburg,United States,US,North America
2HR,Harrold,United States,US,North America
2HU,Hurup,Germany,DE,Europe
