city,country,population,capital,average_temperature,continent,living_cost,travel_connectivity,safety,healthcare,education,economy,internet_access,outdoors,id
Riga,Latvia,920643.0,1,22.26259541984733,Europe,7.329,2.3725,7.6255,5.710000000000001,4.090999999999999,4.094500000000001,5.841000000000001,5.5265,94
Bali,India,293373.0,1,29.3,Asia,0.0,1.93,8.7475,4.442,0.5275,4.657500000000001,3.2375000000000003,7.5005,95
Beijing,China,18522000.0,1,25.50076923076923,Asia,8.101,7.0175,7.066,6.423333333333333,7.971000000000002,6.103,3.493,4.9435,96
Bangkok,Thailand,18007000.0,1,29.70615384615385,Asia,7.222,4.112,7.0365,7.126666666666665,1.6915,2.387,4.826499999999999,6.494000000000001,97
Saint Petersburg,Russia,5384342.0,1,22.9,Asia,8.673,5.8805,7.793000000000001,4.951999999999999,4.282,3.148,5.6425,5.385,98
Ho Chi Minh City,Vietnam,15136000.0,1,26.6,Asia,8.844000000000001,2.08,6.767500000000001,5.540333333333333,4.116499999999999,4.8345,4.565,1.2575,99
Tehran,Iran,14148000.0,1,33.625,Asia,9.544,3.175,6.792999999999999,5.312333333333332,0.51,3.9435,1.5759999999999998,5.499999999999999,100
Asuncion,Paraguay,477346.0,1,13.7,South America,9.295000000000002,0.645,6.9345,5.485333333333333,0.0,4.109,1.479,3.4845000000000006,101
Kuala Lumpur,Malaysia,8911000.0,1,28.27348484848485,Asia,8.238,3.5620000000000003,5.880999999999999,5.950333333333333,2.527,6.339,5.4615,5.738500000000001,102
Riyadh,Saudi Arabia,7237000.0,1,42.41145038167939,Asia,7.806000000000001,2.4605,7.583000000000001,6.085666666666666,0.5035,7.042,4.13,0.5,103
Singapore,Singapore,5983000.0,1,28.859848484848484,Asia,3.4890000000000003,2.982,9.9715,7.682666666666665,8.2465,7.478500000000001,8.447,5.834,104
Nairobi,Kenya,5545000.0,1,23.029545454545456,Africa,8.431999999999999,2.3145,5.972,3.5983333333333327,0.5,4.376999999999999,1.889,4.0495,105
Ankara,Turkey,5503985.0,1,28.916030534351144,Europe,9.125,2.0475,7.425000000000002,6.914333333333333,2.0285,4.093500000000001,2.3160000000000003,5.1465,106
Guatemala City,Guatemala,3014000.0,1,18.436153846153843,North America,8.175,0.8145000000000001,6.139,4.763666666666666,0.0,3.805,2.506,4.1335,107
Budapest,Hungary,2997958.0,1,27.696969696969692,Europe,7.947999999999999,4.426500000000001,8.218499999999999,5.745999999999999,3.693,4.946,6.759,5.112000000000001,108
Tashkent,Uzbekistan,2956384.0,1,32.50909090909091,Asia,0.0,2.7375000000000007,8.9045,3.693333333333333,0.0,5.5375,1.2425000000000002,4.2425,109
Nicosia,Italy,12686.0,1,34.12595419847328,Europe,6.301,1.606,8.102500000000001,6.758666666666667,2.475,2.9955,2.6545,1.7755,110
Nicosia,Cyprus,330000.0,1,34.12595419847328,Europe,6.301,1.606,8.102500000000001,6.758666666666667,2.475,2.9955,2.6545,1.7755,111
Beirut,Lebanon,2421354.0,1,28.94621212121212,Asia,6.3,1.3045000000000004,6.833,6.1593333333333335,1.0035,3.4345000000000003,1.5905,3.842000000000001,112
Bucharest,Romania,2412530.0,1,30.16946564885496,Europe,8.516,3.4955,8.985999999999999,6.075333333333333,2.4475,4.103,9.638,1.9675,113
Baku,Azerbaijan,2300500.0,1,28.31450381679389,Europe,9.806,2.1690000000000005,8.772,3.701999999999999,0.0,3.8765,1.4420000000000002,4.503,114
Caracas,Venezuela,2245744.0,1,26.349242424242423,South America,9.82,1.3235,5.221,4.178333333333334,0.0,1.978,1.6415000000000002,4.0985,115
Phnom Penh,Cambodia,2129371.0,1,29.18854961832061,Asia,8.001000000000001,1.2395,6.684,2.984,0.0,5.379999999999999,3.395,3.4330000000000007,116
Stockholm,Sweden,2121000.0,1,20.74732824427481,Europe,4.36,6.2255,6.8865,8.039333333333332,6.6675,5.694499999999999,7.6135,4.494,117
Havana,Cuba,2089532.0,1,26.596969696969698,North America,7.607999999999999,1.919,8.6335,6.999666666666665,0.0,2.5495000000000005,1.703,5.0225,118
Minsk,Belarus,1995471.0,1,23.590151515151515,Europe,9.289,3.7664999999999993,9.038,5.5106666666666655,0.5,3.204,4.863,4.906000000000001,119
Quito,Ecuador,1763275.0,1,11.537121212121212,South America,7.822,0.8900000000000001,6.968999999999999,6.406333333333332,0.0,3.8855,3.4815,5.499999999999999,120
Montevideo,Uruguay,1719453.0,1,11.012121212121212,South America,6.197,1.183,5.9735000000000005,6.654999999999999,1.6900000000000002,4.416,2.1785,5.1785,121
Sofia,Bulgaria,1547779.0,1,27.588461538461537,Europe,8.55,2.6665,7.550499999999999,5.586666666666666,2.0145,3.25,6.272500000000001,4.0565,122
Copenhagen,Denmark,1366301.0,1,19.441221374045803,Europe,3.426,6.3,9.1525,7.985333333333334,5.301,4.886500000000001,7.239500000000001,4.671000000000001,123
Helsinki,Finland,1360075.0,1,20.72121212121212,Europe,4.121,4.7505,8.674000000000001,7.953666666666665,5.4545,3.921,5.1035,4.797999999999999,124
Prague,Czechia,1357326.0,1,23.037984496124032,Europe,7.569,5.4815000000000005,8.6595,7.8809999999999985,4.238,4.378000000000001,6.0905,4.901000000000001,125
Brussels,Belgium,1235192.0,1,20.27175572519084,Europe,4.477,7.4675,6.703,8.158333333333333,6.6530000000000005,4.8115000000000006,7.5715,4.123,126
Doha,Qatar,1186023.0,1,38.99242424242424,Asia,6.183,2.6425,9.486,7.4336666666666655,1.4335,9.39,3.245,4.436999999999999,127
Managua,Nicaragua,1051236.0,1,25.577862595419845,North America,0.0,0.6075,7.774500000000001,6.403666666666666,0.0,3.9395,1.177,1.4335,128
Tbilisi,Georgia,1118035.0,1,28.07384615384615,Europe,9.765,2.2510000000000003,9.506,5.052333333333334,0.8625,4.2525,4.087,5.477500000000001,129
Yerevan,Armenia,1075800.0,1,30.48409090909091,Europe,9.431,1.7870000000000004,8.873000000000001,5.102,0.0,3.458,3.9,7.7765,130
Oslo,Norway,1064235.0,1,15.281679389312975,Europe,1.0380000000000005,5.177,7.1065000000000005,7.909999999999998,5.144500000000001,7.0735,7.9705,6.1895,131
Kathmandu,Nepal,845767.0,1,24.59923664122137,Asia,9.445,1.041,8.5055,4.115999999999999,0.0,4.496,2.201,3.798,132
Zagreb,Croatia,767131.0,1,27.686153846153843,Europe,7.193999999999999,2.028,8.6575,7.266,3.211,2.2365,5.0335,4.809,133
Vilnius,Lithuania,716856.0,1,22.78931297709924,Europe,7.576,2.105,8.857,6.330666666666666,3.7,4.691,7.9265,4.106,134
Tallinn,Estonia,614561.0,1,20.392424242424244,Europe,6.931000000000001,1.9705,9.4255,7.366333333333333,5.355,4.1850000000000005,5.202,4.5355,135
Tunis,Tunisia,602560.0,1,31.920610687022904,Africa,9.998,2.6080000000000005,8.291500000000001,6.2926666666666655,0.5,3.0920000000000005,1.0725,5.365500000000001,136
Valletta,Malta,480134.0,1,29.290909090909093,Europe,0.0,1.889,8.518,8.107,2.8195,5.5395,3.2015,4.716999999999999,137
Bratislava,Slovakia,475503.0,1,26.1412213740458,Europe,7.618,4.890000000000001,8.618,6.751999999999999,3.2975,4.4705,4.583500000000001,4.8575,138
Sarajevo,Bosnia and Herzegovina,419957.0,1,26.745454545454542,Europe,8.659,1.207,7.132999999999999,6.525666666666666,0.0,2.088,4.6475,2.8705000000000003,139
Ljubljana,Slovenia,284293.0,1,25.35833333333333,Europe,6.749000000000001,2.293,8.953,7.671666666666668,4.851999999999999,4.7205,5.4895000000000005,1.8225,140
Reykjavik,Iceland,139875.0,1,9.8,Europe,1.0,1.1349999999999998,8.658,8.078999999999999,4.057,5.283,6.742,4.8035000000000005,141
Bern,Switzerland,134506.0,1,22.133333333333333,Europe,1.0,5.2635000000000005,9.266,7.520333333333333,5.3455,6.552,6.1145000000000005,2.1225,142
Luxembourg,Luxembourg,132780.0,1,19.889230769230767,Europe,3.411,4.5805,8.627999999999998,8.220333333333333,3.4795,7.473000000000001,5.458,1.475,143
